sido_nm,SGG_CD,adm_nm,price_2020,birth,grdpPbirth
서울특별시,11010,서울특별시 종로구,33893980,529,64071.79584120983
서울특별시,11020,서울특별시 중구,56070505,690,81261.60144927536
서울특별시,11030,서울특별시 용산구,12824348,1176,10905.057823129251
서울특별시,11040,서울특별시 성동구,12422960,1945,6387.125964010283
서울특별시,11050,서울특별시 광진구,6451227,1532,4210.983681462141
서울특별시,11060,서울특별시 동대문구,7399775,1702,4347.693889541715
서울특별시,11070,서울특별시 중랑구,4750297,1873,2536.197010144154
서울특별시,11080,서울특별시 성북구,6193208,2041,3034.3988241058305
서울특별시,11090,서울특별시 강북구,3356956,1049,3200.148713060057
서울특별시,11100,서울특별시 도봉구,3499358,1218,2873.0361247947453
서울특별시,11110,서울특별시 노원구,6438328,2252,2858.9378330373
서울특별시,11120,서울특별시 은평구,5076529,2144,2367.7840485074626
서울특별시,11130,서울특별시 서대문구,8611066,1533,5617.133724722766
서울특별시,11140,서울특별시 마포구,20199596,2015,10024.613399503722
서울특별시,11150,서울특별시 양천구,7012123,1875,3739.7989333333335
서울특별시,11160,서울특별시 강서구,16811352,3345,5025.815246636771
서울특별시,11170,서울특별시 구로구,13924846,2269,6136.996914940502
서울특별시,11180,서울특별시 금천구,17221771,1092,15770.852564102564
서울특별시,11190,서울특별시 영등포구,39433365,2296,17174.810540069688
서울특별시,11200,서울특별시 동작구,6650824,2044,3253.8277886497062
서울특별시,11210,서울특별시 관악구,6138754,1905,3222.4430446194224
서울특별시,11220,서울특별시 서초구,36249662,2238,16197.34673815907
서울특별시,11230,서울특별시 강남구,74260359,2356,31519.676994906622
서울특별시,11240,서울특별시 송파구,30336592,3791,8002.266420469533
서울특별시,11250,서울특별시 강동구,9317128,2535,3675.395660749507
부산광역시,21010,부산광역시 중구,3551831,94,37785.436170212764
부산광역시,21020,부산광역시 서구,3414621,359,9511.479108635098
부산광역시,21030,부산광역시 동구,4098015,347,11809.841498559077
부산광역시,21040,부산광역시 영도구,2762062,289,9557.307958477508
부산광역시,21050,부산광역시 부산진구,8640684,1468,5886.024523160763
부산광역시,21060,부산광역시 동래구,3989457,1270,3141.3047244094487
부산광역시,21070,부산광역시 남구,6155947,998,6168.283567134268
부산광역시,21080,부산광역시 북구,3031318,1272,2383.1116352201257
부산광역시,21090,부산광역시 해운대구,9128828,1728,5282.886574074074
부산광역시,21100,부산광역시 사하구,7040858,1327,5305.846269781462
부산광역시,21110,부산광역시 금정구,4367027,782,5584.433503836317
부산광역시,21120,부산광역시 강서구,13426281,1312,10233.445884146342
부산광역시,21130,부산광역시 연제구,6323236,1058,5976.593572778828
부산광역시,21140,부산광역시 수영구,2770947,787,3520.8983481575606
부산광역시,21150,부산광역시 사상구,6216501,823,7553.464155528554
부산광역시,21310,부산광역시 기장군,6368873,1144,5567.1966783216785
대구광역시,22010,대구광역시 중구,5409289,413,13097.55205811138
대구광역시,22020,대구광역시 동구,7583912,1649,4599.097634930261
대구광역시,22030,대구광역시 서구,3852826,405,9513.15061728395
대구광역시,22040,대구광역시 남구,3099186,484,6403.2768595041325
대구광역시,22050,대구광역시 북구,10468227,2198,4762.614649681529
대구광역시,22060,대구광역시 수성구,8389760,1342,6251.684053651266
대구광역시,22070,대구광역시 달서구,11708977,2373,4934.250737463127
대구광역시,22310,대구광역시 달성군,7213212,2329,3097.128381279519
인천광역시,23010,인천광역시 중구,12181626,776,15697.971649484536
인천광역시,23020,인천광역시 동구,3656940,219,16698.35616438356
인천광역시,23090,인천광역시 미추홀구,7697533,2065,3727.618886198547
인천광역시,23040,인천광역시 연수구,11845543,2525,4691.304158415842
인천광역시,23050,인천광역시 남동구,16456077,2831,5812.814199929354
인천광역시,23060,인천광역시 부평구,10681732,2399,4452.576907044602
인천광역시,23070,인천광역시 계양구,4830032,1261,3830.3187946074545
